,Ammonizione,Assist,Assist da fermo,Autorete,Espulsione,Fantapunti,Goal,Goal subito,Malus,Modulo,Modulo applicato,Punti,Rigore parato,Rigore sbagliato,Rigore segnato,Risultato,Squadra
0,1,2,0,0,0,83.0,4,1,0,352,352,70.5,0,0,0,Vittoria,FC Elektrosila Skingrad
1,1,1,0,0,0,69.0,2,3,0,343,343,65.5,0,0,0,Sconfitta,Pro Sud Gradinata
2,0,2,1,0,0,81.0,3,0,0,343,343,69.0,0,0,0,Vittoria,Varese Primavera
3,2,1,0,0,0,70.0,1,1,0,343,343,68.0,0,0,0,Sconfitta,AC Vostra
4,0,1,0,0,0,78.5,2,1,0,433,433,69.5,0,0,1,Sconfitta,Civitanova Squidfishers
5,4,0,0,0,0,84.5,3,0,0,343,343,71.5,0,0,2,Vittoria,Bluefin FC
6,1,1,0,0,0,81.0,4,1,0,343,343,69.5,0,0,0,Vittoria,SS Condom
7,1,0,0,0,0,58.5,0,0,0,343,343,59.0,0,0,0,Sconfitta,FK Qarabaq
8,0,3,0,0,0,75.5,1,0,0,343,343,69.5,0,0,0,Pareggio,Overflow FC
9,0,1,0,0,0,77.5,3,2,0,343,343,69.5,0,0,0,Pareggio,Sbronzi di Riace
10,2,0,0,0,0,59.5,0,1,0,343,343,58.5,0,0,1,Sconfitta,AC Vostra
11,0,0,0,0,0,76.0,2,0,0,433,433,67.0,0,0,1,Vittoria,Civitanova Squidfishers
12,3,0,0,2,0,64.0,1,0,0,343,343,65.5,0,0,1,Pareggio,FK Qarabaq
13,1,0,0,0,0,62.5,0,1,0,343,343,64.0,0,0,0,Pareggio,FC Elektrosila Skingrad
14,2,1,0,0,0,68.5,0,2,0,343,343,67.5,0,0,1,Sconfitta,Sbronzi di Riace
15,1,1,0,0,0,73.5,2,1,0,343,343,65.0,1,0,0,Vittoria,Varese Primavera
16,1,2,0,0,0,79.0,2,1,0,343,343,69.5,0,0,1,Pareggio,Bluefin FC
17,2,1,0,0,0,81.5,4,0,0,343,343,69.5,0,0,0,Pareggio,SS Condom
18,1,0,0,0,0,77.5,3,0,0,352,352,69.0,0,0,0,Vittoria,Pro Sud Gradinata
19,2,2,0,0,0,66.0,0,1,0,343,343,66.0,0,0,0,Sconfitta,Overflow FC
20,0,3,0,0,0,86.0,4,0,0,433,433,71.0,0,0,0,Vittoria,FC Elektrosila Skingrad
21,0,2,1,0,0,77.0,2,0,0,343,343,68.0,0,1,1,Sconfitta,Bluefin FC
22,1,1,1,0,0,69.0,2,2,0,343,343,66.5,0,1,0,Pareggio,Civitanova Squidfishers
23,2,0,0,0,1,66.0,2,2,0,343,343,64.0,0,0,0,Pareggio,Varese Primavera
24,1,3,0,0,0,78.5,3,0,0,343,343,67.0,0,0,0,Vittoria,SS Condom
25,1,0,0,0,0,67.0,0,1,0,343,343,65.5,1,0,0,Sconfitta,AC Vostra
26,1,0,0,0,0,64.5,0,1,0,343,343,66.0,0,0,0,Pareggio,Pro Sud Gradinata
27,1,0,0,0,1,61.5,1,4,0,343,343,64.0,0,0,0,Pareggio,Sbronzi di Riace
28,2,1,0,0,0,66.5,1,2,0,343,343,65.5,0,0,0,Vittoria,Overflow FC
29,1,1,0,0,0,64.0,0,1,0,343,343,64.5,0,0,0,Sconfitta,FK Qarabaq
30,2,2,0,0,0,70.0,1,2,0,343,343,65.0,0,0,1,Vittoria,AC Vostra
31,0,0,0,0,0,69.0,1,1,0,343,343,67.0,0,1,1,Sconfitta,FC Elektrosila Skingrad
32,1,0,0,0,0,67.5,1,1,0,343,343,66.0,0,0,0,Sconfitta,Varese Primavera
33,1,0,0,0,0,81.0,5,2,0,343,343,68.5,0,0,0,Vittoria,SS Condom
34,2,1,0,0,1,67.5,1,0,0,343,343,65.5,0,0,0,Vittoria,FK Qarabaq
35,1,0,0,0,0,64.5,2,6,0,343,343,65.0,0,0,0,Sconfitta,Pro Sud Gradinata
36,1,1,1,0,0,64.5,0,2,0,343,343,65.0,0,0,0,Pareggio,Sbronzi di Riace
37,2,1,0,0,0,64.0,0,2,0,343,343,66.0,0,0,0,Pareggio,Civitanova Squidfishers
38,2,2,0,0,0,82.0,1,1,0,433,433,70.0,0,0,3,Vittoria,Bluefin FC
39,0,0,0,0,0,73.5,2,0,0,343,343,67.5,0,0,0,Sconfitta,Overflow FC
40,2,0,0,0,0,64.0,1,1,0,352,352,66.0,0,1,0,Pareggio,FC Elektrosila Skingrad
41,1,0,0,0,0,58.0,0,2,0,343,343,60.5,0,0,0,Pareggio,Varese Primavera
42,2,1,1,0,0,64.0,0,2,0,343,343,65.0,0,0,0,Sconfitta,SS Condom
43,2,0,0,0,0,68.0,2,3,0,442,442,66.0,0,0,0,Vittoria,Civitanova Squidfishers
44,5,0,0,0,0,66.0,2,1,0,343,343,60.5,0,0,1,Sconfitta,FK Qarabaq
45,2,3,0,0,0,81.0,4,2,0,343,343,69.0,0,0,0,Vittoria,Sbronzi di Riace
46,0,0,0,0,0,71.5,1,0,0,343,343,65.5,0,0,1,Pareggio,Pro Sud Gradinata
47,2,1,0,0,0,71.0,1,3,0,433,433,68.0,0,0,1,Pareggio,Bluefin FC
48,0,0,0,0,0,68.5,1,0,0,343,343,65.5,0,0,0,Vittoria,Overflow FC
49,2,2,0,0,0,65.5,0,1,0,343,343,65.5,0,0,0,Sconfitta,AC Vostra
50,1,0,2,1,0,63.5,0,0,0,343,343,65.0,0,1,1,Pareggio,AC Vostra
51,2,1,0,0,1,62.5,0,0,0,343,343,63.5,0,0,0,Pareggio,Pro Sud Gradinata
52,1,0,0,0,0,75.0,2,0,0,343,343,66.5,0,0,1,Sconfitta,Varese Primavera
53,3,2,0,0,0,87.0,5,0,0,343,343,71.5,0,0,0,Vittoria,Overflow FC
54,3,0,1,0,0,66.5,0,0,0,433,433,67.0,0,0,0,Pareggio,Civitanova Squidfishers
55,0,3,1,0,0,69.5,0,2,0,451,451,67.5,0,0,0,Pareggio,FC Elektrosila Skingrad
56,0,1,0,0,1,71.0,1,1,0,343,343,66.0,0,0,1,Vittoria,Sbronzi di Riace
