,Ammonizione,Assist,Assist da fermo,Autorete,Espulsione,Fantapunti,Goal,Goal subito,Malus,Modulo,Modulo applicato,Punti,Rigore parato,Rigore sbagliato,Rigore segnato,Risultato,Squadra
56,4,0,0,0,0,72.0,3,2,0,442,442,67.0,0,0,0,Vittoria,The Okan
57,0,0,0,0,0,58.5,0,0,1,433,433,62.0,0,1,0,Sconfitta,Tutankhamon Rotoloni Cigni
58,2,0,1,0,0,73.5,1,3,1,4312,4312,68.0,0,0,2,Vittoria,S S Condom
59,0,0,0,0,0,64.0,0,1,0,3421,3421,65.0,0,0,0,Sconfitta,Club Atletico De San Martin De Tucuman
60,2,2,1,0,0,76.5,1,0,1,433,433,69.0,0,0,1,Vittoria,Tutankhamon Rotoloni Cigni
61,4,2,0,0,1,72.0,2,0,0,343,343,67.0,0,0,0,Sconfitta,Overflow FC
62,2,1,0,0,0,76.5,1,0,0,343,343,70.5,0,0,1,Vittoria,Club Atletico De San Martin De Tucuman
63,0,0,0,0,0,64.5,0,2,0,433,433,66.5,0,0,0,Sconfitta,Bluefin FC
64,1,0,1,1,0,67.0,2,1,0,4312,4312,64.5,0,0,0,Sconfitta,Club Atletico Luigi Cadorna Milano 1896
65,1,0,0,0,0,77.5,2,0,1,4312,4312,69.5,0,0,1,Vittoria,S S Condom
66,2,1,1,0,0,68.0,0,0,0,442,442,67.0,0,0,0,Vittoria,Civitanova Squidfishers
67,0,1,1,0,1,61.0,0,0,0,433,433,63.0,0,1,0,Sconfitta,Hyrule's Chickens
68,3,0,0,0,0,61.5,0,2,1,4321,4321,65.5,0,0,0,Sconfitta,The Okan
69,0,0,0,0,0,79.5,3,0,0,4321,4321,70.5,0,0,0,Vittoria,Pro Sud Gradinata
70,1,1,0,0,0,74.5,3,2,0,343,343,67.0,0,0,0,Vittoria,Overflow FC
71,3,1,0,0,0,64.5,1,4,0,442,442,66.0,0,0,0,Sconfitta,The Okan
72,0,1,0,0,0,61.0,1,1,0,433,433,58.0,0,0,0,Sconfitta,Hyrule's Chickens
73,3,1,0,0,0,75.0,2,0,0,3412,3412,66.5,0,0,1,Vittoria,Club Atletico De San Martin De Tucuman
74,2,0,0,0,0,79.0,4,1,0,433,433,69.0,0,0,0,Vittoria,Bluefin FC
75,2,0,0,0,0,65.5,1,3,0,4231,4231,66.5,0,0,0,Sconfitta,Club Atletico Luigi Cadorna Milano 1896
76,1,1,0,0,0,68.0,0,0,0,442,442,67.5,0,0,0,Pareggio,Civitanova Squidfishers
77,0,2,0,0,0,69.0,1,2,0,4321,4321,66.0,0,0,0,Pareggio,Pro Sud Gradinata
78,0,1,0,0,0,66.5,2,3,0,4312,4312,65.5,0,1,0,Sconfitta,S S Condom
79,0,2,0,0,0,71.0,2,1,0,433,433,64.0,0,0,0,Vittoria,Tutankhamon Rotoloni Cigni
80,1,1,0,0,0,70.0,1,1,0,433,433,67.5,0,0,0,Pareggio,Tutankhamon Rotoloni Cigni
81,0,3,0,0,0,73.0,1,0,0,433,433,67.0,0,0,0,Pareggio,Bluefin FC
82,3,1,0,0,0,59.0,0,2,0,3412,3412,61.5,0,0,0,Sconfitta,Club Atletico De San Martin De Tucuman
83,1,1,0,0,0,84.5,5,0,0,442,442,69.0,0,0,0,Vittoria,Civitanova Squidfishers
84,3,0,0,0,0,64.5,1,1,0,433,433,64.0,0,0,0,Sconfitta,Pro Sud Gradinata
85,2,1,0,0,0,69.5,1,1,1,343,343,68.0,0,0,0,Vittoria,Overflow FC
86,2,0,0,0,0,65.5,1,1,1,352,352,65.0,0,1,1,Sconfitta,Club Atletico Luigi Cadorna Milano 1896
87,0,0,0,0,0,78.0,4,2,0,433,433,68.0,0,0,0,Vittoria,Hyrule's Chickens
88,2,1,0,0,0,70.0,1,1,0,442,442,68.0,0,0,0,Pareggio,The Okan
89,3,2,0,0,0,70.5,2,2,1,4312,4312,66.5,0,0,0,Pareggio,S S Condom
90,2,1,0,0,0,65.0,0,0,0,343,343,65.0,0,0,0,Pareggio,Overflow FC
91,1,0,0,0,0,64.0,0,1,1,4312,4312,66.0,0,0,0,Pareggio,S S Condom
92,0,3,0,0,0,69.0,0,0,0,433,433,66.0,0,0,0,Pareggio,Tutankhamon Rotoloni Cigni
93,2,0,0,0,1,68.0,1,0,0,433,433,67.0,0,0,0,Pareggio,Hyrule's Chickens
94,2,0,0,0,0,72.0,2,1,0,433,433,68.0,0,0,0,Pareggio,Pro Sud Gradinata
95,1,3,0,0,0,73.5,2,4,0,3412,3412,69.0,0,0,0,Pareggio,Club Atletico De San Martin De Tucuman
96,1,1,0,0,0,73.0,2,1,0,352,352,67.5,0,0,0,Vittoria,Club Atletico Luigi Cadorna Milano 1896
97,1,0,0,0,0,67.5,1,2,0,442,442,67.0,0,0,0,Sconfitta,Civitanova Squidfishers
98,1,1,0,0,0,63.5,0,2,1,442,442,65.5,0,0,0,Sconfitta,The Okan
99,2,0,1,0,0,68.0,2,1,0,433,433,66.0,0,1,0,Vittoria,Bluefin FC
100,3,3,0,0,0,74.5,1,1,0,3412,3412,68.0,0,0,1,Vittoria,Club Atletico De San Martin De Tucuman
101,0,0,0,0,0,58.0,0,1,0,4312,4312,59.0,0,0,0,Sconfitta,Club Atletico Luigi Cadorna Milano 1896
102,4,0,1,0,1,62.5,1,1,0,433,433,62.5,0,1,1,Sconfitta,Hyrule's Chickens
103,2,1,0,0,0,71.5,1,0,1,4321,4321,69.0,0,0,0,Vittoria,The Okan
104,1,3,1,0,0,69.5,1,3,0,433,433,66.0,0,0,0,Sconfitta,Bluefin FC
105,1,1,0,0,0,74.5,2,1,1,343,343,69.5,0,0,0,Vittoria,Overflow FC
106,0,1,0,0,0,75.5,3,1,0,442,442,66.5,0,0,0,Vittoria,Civitanova Squidfishers
107,2,0,0,0,0,67.0,1,1,0,433,433,66.0,0,0,0,Sconfitta,Tutankhamon Rotoloni Cigni
108,1,1,0,0,0,72.5,1,2,1,4312,4312,68.5,0,0,1,Vittoria,S S Condom
109,2,0,0,0,0,58.0,0,0,0,433,433,62.0,0,1,0,Sconfitta,Pro Sud Gradinata
110,1,1,0,0,0,83.5,4,0,1,343,343,71.5,0,0,0,Vittoria,Overflow FC
111,2,1,0,0,0,64.5,1,0,0,433,433,64.5,0,1,0,Sconfitta,Hyrule's Chickens
112,2,1,0,0,0,68.0,1,1,0,433,433,66.0,0,0,0,Vittoria,Tutankhamon Rotoloni Cigni
113,3,0,0,0,0,60.0,0,1,0,3412,3412,62.5,0,0,0,Sconfitta,Club Atletico De San Martin De Tucuman
114,1,0,0,0,0,67.0,1,1,0,4312,4312,65.5,0,0,0,Pareggio,Pro Sud Gradinata
115,2,0,0,0,0,67.0,1,0,0,4312,4312,65.0,0,0,0,Pareggio,Club Atletico Luigi Cadorna Milano 1896
116,1,0,0,0,0,62.0,0,1,1,4321,4321,64.0,0,0,0,Sconfitta,The Okan
117,1,2,0,0,0,69.0,0,1,0,442,442,68.5,0,0,0,Vittoria,Civitanova Squidfishers
118,0,1,0,0,1,59.5,0,0,1,4312,4312,60.0,0,0,0,Sconfitta,S S Condom
119,3,1,1,0,0,74.5,2,0,0,433,433,68.0,0,0,0,Vittoria,Bluefin FC
120,0,2,0,0,0,81.0,3,0,0,343,343,70.0,0,0,0,Vittoria,Club Atletico De San Martin De Tucuman
121,1,1,0,0,0,70.0,2,5,1,4321,4321,69.0,0,0,0,Sconfitta,The Okan
122,2,0,0,0,0,64.0,1,2,0,4312,4312,64.0,0,0,0,Sconfitta,Hyrule's Chickens
123,4,0,1,0,0,66.0,1,1,0,4312,4312,65.0,0,0,0,Vittoria,S S Condom
124,0,2,0,0,0,77.5,2,1,0,4231,4231,70.5,0,0,0,Vittoria,Club Atletico Luigi Cadorna Milano 1896
125,3,4,0,0,0,71.0,1,1,0,433,433,66.5,0,0,0,Sconfitta,Tutankhamon Rotoloni Cigni
126,3,1,0,0,0,74.5,2,0,0,433,433,69.0,0,0,0,Vittoria,Bluefin FC
127,0,0,0,0,0,63.0,0,0,0,433,433,63.0,0,0,0,Sconfitta,Pro Sud Gradinata
128,0,0,0,0,1,81.0,4,1,0,442,442,68.0,1,0,0,Vittoria,Civitanova Squidfishers
129,0,1,0,0,0,69.5,1,1,2,343,343,67.5,0,0,0,Sconfitta,Overflow FC
130,1,0,0,0,0,64.0,0,0,0,433,433,64.5,0,0,0,Sconfitta,Overflow FC
131,2,1,0,0,0,76.0,2,0,0,3412,3412,70.0,0,0,0,Vittoria,Club Atletico De San Martin De Tucuman
132,1,0,0,1,0,63.5,0,0,0,433,433,67.0,0,0,0,Pareggio,Pro Sud Gradinata
133,0,0,0,0,0,62.0,0,3,0,433,433,65.0,0,0,0,Pareggio,Tutankhamon Rotoloni Cigni
134,3,1,0,0,0,67.5,1,0,0,352,352,65.0,0,0,0,Vittoria,Bluefin FC
135,2,1,0,0,0,65.5,1,1,0,433,433,63.5,0,0,0,Sconfitta,Hyrule's Chickens
136,3,0,0,0,0,66.0,1,2,1,4411,4411,67.0,0,0,0,Sconfitta,The Okan
137,0,2,0,0,0,73.0,2,1,3,4312,4312,67.5,0,0,0,Vittoria,Club Atletico Luigi Cadorna Milano 1896
138,1,0,0,0,1,60.0,0,1,1,4312,4312,63.0,0,0,0,Pareggio,S S Condom
139,2,0,0,0,0,64.0,0,0,0,442,442,65.0,0,0,0,Pareggio,Civitanova Squidfishers
140,1,0,0,0,0,69.0,2,3,1,433,433,67.0,0,0,0,Vittoria,Tutankhamon Rotoloni Cigni
141,1,0,0,0,0,62.0,0,1,1,4411,4411,64.0,0,0,0,Sconfitta,The Okan
142,1,1,0,0,0,61.5,0,0,0,3412,3412,64.0,0,1,0,Sconfitta,Club Atletico De San Martin De Tucuman
143,1,0,0,0,0,71.0,1,1,1,4312,4312,67.0,1,0,0,Vittoria,S S Condom
144,4,2,0,0,0,64.5,1,3,0,4312,4312,64.5,0,0,0,Pareggio,Hyrule's Chickens
145,2,0,0,0,1,62.5,1,3,0,433,433,64.5,0,0,0,Pareggio,Pro Sud Gradinata
146,1,1,0,0,0,65.0,1,3,0,4312,4312,64.5,0,0,0,Sconfitta,Club Atletico Luigi Cadorna Milano 1896
147,1,1,1,0,0,77.5,3,1,0,433,433,68.0,0,0,0,Vittoria,Overflow FC
148,1,1,0,0,0,65.0,0,0,0,442,442,64.5,0,0,0,Sconfitta,Civitanova Squidfishers
149,4,2,0,0,0,73.0,2,0,0,352,352,67.0,0,0,0,Vittoria,Bluefin FC
150,1,0,0,0,1,53.5,0,2,1,433,433,60.5,0,1,0,Sconfitta,Overflow FC
151,0,0,0,0,0,71.5,2,0,0,433,433,65.5,0,0,0,Vittoria,Tutankhamon Rotoloni Cigni
