,Ammonizione,Assist,Assist da fermo,Autorete,Espulsione,Fantapunti,Goal,Goal subito,Malus,Modulo,Modulo applicato,Punti,Rigore parato,Rigore sbagliato,Rigore segnato,Risultato,Squadra
75,2,0,0,0,0,37.0,1,3,0,4312,4312,38.0,0,0,0,Sconfitta,Club Atletico Luigi Cadorna Milano 1896
76,0,1,0,0,0,46.0,0,0,0,4222,4222,45.0,0,0,0,Sconfitta,Civitanova Squidfishers
77,0,2,0,0,0,41.0,1,2,0,4222,4222,38.0,0,0,0,Vittoria,Pro Sud Gradinata
78,0,1,0,0,0,53.5,2,3,0,4411,4411,49.5,0,0,0,Sconfitta,S S Condom
79,0,1,0,0,0,57.5,2,1,0,4222,4222,51.5,0,0,0,Vittoria,Tutankhamon Rotoloni Cigni
80,0,1,0,0,0,42.0,1,1,0,352,352,39.0,0,0,0,Sconfitta,Tutankhamon Rotoloni Cigni
81,0,3,0,0,0,51.5,1,0,0,442,442,45.5,0,0,0,Vittoria,Bluefin FC
82,0,1,0,0,0,29.0,0,2,0,4312,4312,30.0,0,0,0,Sconfitta,Club Atletico De San Martin De Tucuman
83,1,1,0,0,0,67.0,5,0,0,4222,4222,51.5,0,0,0,Vittoria,Civitanova Squidfishers
84,2,0,0,0,0,48.0,1,1,0,352,352,47.0,0,0,0,Sconfitta,Pro Sud Gradinata
85,2,1,0,0,0,52.5,1,1,0,343,343,50.5,0,0,0,Vittoria,Overflow FC
86,2,0,0,0,0,46.0,1,1,1,4411,4411,42.5,0,0,1,Sconfitta,Club Atletico Luigi Cadorna Milano 1896
87,0,0,0,0,0,50.0,4,2,0,352,352,40.0,0,0,0,Vittoria,Hyrule's Chickens
88,1,1,0,0,0,54.0,1,1,0,3412,3412,51.5,0,0,0,Sconfitta,The Okan
89,1,2,0,0,0,56.0,2,2,0,4312,4312,50.5,0,0,0,Vittoria,S S Condom
90,1,1,0,0,0,48.0,0,0,0,352,352,47.5,0,0,0,Vittoria,Overflow FC
91,0,0,0,0,0,41.0,0,0,1,4312,4312,41.5,0,0,0,Sconfitta,S S Condom
92,0,3,0,0,0,46.5,0,0,0,4312,4312,43.5,0,0,0,Vittoria,Tutankhamon Rotoloni Cigni
93,2,0,0,0,0,52.0,1,0,0,4231,4231,50.0,0,0,0,Sconfitta,Hyrule's Chickens
94,1,0,0,0,0,60.5,2,1,0,4222,4222,56.0,0,0,0,Sconfitta,Pro Sud Gradinata
95,0,1,0,0,0,41.0,2,4,0,4312,4312,38.0,0,0,0,Vittoria,Club Atletico De San Martin De Tucuman
96,1,1,0,0,0,50.0,2,1,0,4222,4222,44.5,0,0,0,Pareggio,Club Atletico Luigi Cadorna Milano 1896
97,1,0,0,0,0,39.5,1,2,0,4411,4411,39.0,0,0,0,Pareggio,Civitanova Squidfishers
98,1,1,0,0,0,41.5,0,2,0,352,352,43.0,0,0,0,Pareggio,The Okan
99,1,0,0,0,0,55.0,2,1,0,3421,3421,50.5,0,0,0,Pareggio,Bluefin FC
100,1,2,0,0,0,46.0,1,1,0,3412,3412,39.5,0,0,1,Vittoria,Club Atletico De San Martin De Tucuman
101,0,0,0,0,0,31.5,0,1,0,343,343,32.5,0,0,0,Sconfitta,Club Atletico Luigi Cadorna Milano 1896
102,3,0,0,0,1,49.0,1,1,0,433,433,46.5,0,0,1,Sconfitta,Hyrule's Chickens
103,1,1,0,0,0,54.5,1,0,1,4222,4222,51.5,0,0,0,Vittoria,The Okan
104,1,3,1,0,0,54.5,1,3,0,352,352,51.0,0,0,0,Pareggio,Bluefin FC
105,1,1,0,0,0,69.5,2,1,1,4312,4312,64.5,0,0,0,Pareggio,Overflow FC
106,0,1,0,0,0,54.0,3,1,0,4222,4222,45.0,0,0,0,Vittoria,Civitanova Squidfishers
107,1,0,0,0,0,56.0,1,1,0,352,352,54.5,0,0,0,Sconfitta,Tutankhamon Rotoloni Cigni
108,0,1,0,0,0,58.0,1,0,0,3412,3412,51.0,0,0,1,Vittoria,S S Condom
109,0,0,0,0,0,42.0,0,0,0,4411,4411,42.0,0,0,0,Sconfitta,Pro Sud Gradinata
110,1,1,0,0,0,72.5,4,0,1,4312,4312,60.5,0,0,0,Vittoria,Overflow FC
111,0,1,0,0,0,38.5,0,0,0,4222,4222,37.5,0,0,0,Sconfitta,Hyrule's Chickens
112,1,1,0,0,0,47.0,1,1,0,4222,4222,44.5,0,0,0,Vittoria,Tutankhamon Rotoloni Cigni
113,0,0,0,0,0,24.0,0,1,0,4411,4411,25.0,0,0,0,Sconfitta,Club Atletico De San Martin De Tucuman
114,1,0,0,0,0,50.5,1,1,0,4411,4411,49.0,0,0,0,Pareggio,Pro Sud Gradinata
115,1,0,0,0,0,47.0,1,0,0,4312,4312,44.5,0,0,0,Pareggio,Club Atletico Luigi Cadorna Milano 1896
116,0,0,0,0,0,31.0,0,1,0,352,352,32.0,0,0,0,Pareggio,The Okan
117,0,2,0,0,0,46.0,0,1,0,4411,4411,45.0,0,0,0,Pareggio,Civitanova Squidfishers
118,0,1,0,0,0,42.0,0,0,0,4222,4222,41.0,0,0,0,Sconfitta,S S Condom
119,2,1,1,0,0,64.0,2,0,0,352,352,57.0,0,0,0,Vittoria,Bluefin FC
120,0,0,0,0,0,60.5,3,0,0,442,442,51.5,0,0,0,Vittoria,Club Atletico De San Martin De Tucuman
121,1,1,0,0,0,64.5,2,0,1,4411,4411,58.5,0,0,0,Sconfitta,The Okan
122,0,0,0,0,0,32.0,1,2,0,4312,4312,31.0,0,0,0,Vittoria,Hyrule's Chickens
123,2,0,1,0,0,57.0,1,1,0,4411,4411,55.0,0,0,0,Sconfitta,S S Condom
124,0,2,0,0,0,66.0,2,1,0,4312,4312,59.0,0,0,0,Sconfitta,Club Atletico Luigi Cadorna Milano 1896
125,2,4,0,0,0,50.0,1,1,0,433,433,45.0,0,0,0,Vittoria,Tutankhamon Rotoloni Cigni
126,0,1,0,0,0,53.0,2,0,0,4222,4222,46.0,0,0,0,Vittoria,Bluefin FC
127,0,0,0,0,0,46.5,0,0,0,4411,4411,46.5,0,0,0,Sconfitta,Pro Sud Gradinata
128,0,0,0,0,0,72.0,4,1,0,3421,3421,58.0,1,0,0,Vittoria,Civitanova Squidfishers
129,0,1,0,0,0,53.5,1,1,2,4312,4312,51.5,0,0,0,Sconfitta,Overflow FC
130,0,0,0,0,0,48.5,0,0,0,442,442,48.5,0,0,0,Sconfitta,Overflow FC
131,1,1,0,0,0,59.0,2,0,0,4411,4411,52.5,0,0,0,Vittoria,Club Atletico De San Martin De Tucuman
132,1,0,0,0,0,42.0,0,0,0,4222,4222,42.5,0,0,0,Vittoria,Pro Sud Gradinata
133,0,0,0,0,0,39.5,0,3,0,343,343,42.5,0,0,0,Sconfitta,Tutankhamon Rotoloni Cigni
134,1,1,0,0,0,41.5,1,0,0,343,343,38.0,0,0,0,Sconfitta,Bluefin FC
135,0,1,0,0,0,34.0,1,1,0,433,433,31.0,0,0,0,Vittoria,Hyrule's Chickens
136,1,0,0,0,0,40.5,1,0,0,4231,4231,38.0,0,0,0,Sconfitta,The Okan
137,0,2,0,0,0,57.5,2,1,1,352,352,51.0,0,0,0,Vittoria,Club Atletico Luigi Cadorna Milano 1896
138,1,0,0,0,0,46.0,0,1,0,4411,4411,47.5,0,0,0,Sconfitta,S S Condom
139,0,0,0,0,0,36.5,0,0,0,4411,4411,36.5,0,0,0,Vittoria,Civitanova Squidfishers
140,0,0,0,0,0,41.0,2,3,1,4222,4222,38.5,0,0,0,Vittoria,Tutankhamon Rotoloni Cigni
141,0,0,0,0,0,41.0,0,0,1,4411,4411,41.5,0,0,0,Sconfitta,The Okan
142,0,1,0,0,0,38.0,0,0,0,442,442,37.0,0,0,0,Sconfitta,Club Atletico De San Martin De Tucuman
143,0,0,0,0,0,49.0,1,1,0,4411,4411,44.0,1,0,0,Vittoria,S S Condom
144,1,2,0,0,0,43.5,1,3,0,4222,4222,42.0,0,0,0,Vittoria,Hyrule's Chickens
145,0,0,0,0,0,42.5,1,3,0,4222,4222,42.5,0,0,0,Sconfitta,Pro Sud Gradinata
146,0,1,0,0,0,39.5,1,3,0,4411,4411,38.5,0,0,0,Sconfitta,Club Atletico Luigi Cadorna Milano 1896
147,1,1,1,0,0,68.0,2,1,0,442,442,61.5,0,0,0,Vittoria,Overflow FC
148,0,1,0,0,0,38.5,0,0,0,343,343,37.5,0,0,0,Sconfitta,Civitanova Squidfishers
149,2,2,0,0,0,52.0,2,0,0,433,433,45.0,0,0,0,Vittoria,Bluefin FC
150,1,0,0,0,0,43.5,0,2,0,4222,4222,46.0,0,0,0,Sconfitta,Overflow FC
151,0,0,0,0,0,56.5,2,0,0,352,352,50.5,0,0,0,Vittoria,Tutankhamon Rotoloni Cigni
152,0,1,0,0,0,60.5,3,1,0,4231,4231,51.5,0,0,0,Vittoria,Pro Sud Gradinata
153,1,0,0,0,0,33.0,1,0,0,4411,4411,30.5,0,0,0,Sconfitta,The Okan
154,0,1,0,0,0,48.0,1,0,0,4222,4222,44.0,0,0,0,Pareggio,Hyrule's Chickens
155,2,1,0,0,0,39.5,1,1,0,442,442,37.5,0,0,0,Pareggio,Civitanova Squidfishers
156,0,0,1,0,0,48.5,1,0,0,4411,4411,44.5,0,0,0,Pareggio,Bluefin FC
157,2,1,0,0,0,43.0,1,0,0,4312,4312,40.0,0,0,0,Pareggio,Club Atletico De San Martin De Tucuman
158,2,1,0,0,0,57.0,2,0,0,4321,4321,51.0,0,0,0,Vittoria,S S Condom
159,0,0,0,0,0,54.0,1,2,2,352,352,54.0,0,0,0,Sconfitta,Club Atletico Luigi Cadorna Milano 1896
160,0,0,0,0,0,57.0,3,0,0,4231,4231,48.0,0,0,0,Vittoria,Tutankhamon Rotoloni Cigni
161,1,0,0,0,0,47.0,1,0,0,4222,4222,44.5,0,0,0,Sconfitta,S S Condom
162,0,0,0,0,0,41.0,2,1,0,4312,4312,33.0,0,0,1,Vittoria,Club Atletico De San Martin De Tucuman
163,0,0,0,0,0,57.0,1,1,0,442,442,55.0,0,0,0,Sconfitta,Hyrule's Chickens
164,0,0,0,0,0,50.5,0,0,0,4222,4222,50.5,0,0,0,Sconfitta,Pro Sud Gradinata
165,1,0,0,0,0,60.5,2,1,0,4222,4222,56.0,0,0,0,Vittoria,Civitanova Squidfishers
166,1,2,0,0,0,39.5,0,0,0,4222,4222,38.0,0,0,0,Sconfitta,Club Atletico Luigi Cadorna Milano 1896
167,1,1,1,0,0,36.5,0,1,0,352,352,36.0,0,0,0,Vittoria,Bluefin FC
168,1,1,0,0,0,43.5,0,0,0,343,343,43.0,0,0,0,Vittoria,The Okan
169,1,0,0,0,0,52.5,0,0,1,4222,4222,53.5,0,0,0,Sconfitta,Overflow FC
170,2,1,1,0,0,71.5,2,0,2,433,433,65.5,0,0,0,Sconfitta,Overflow FC
171,0,0,0,0,0,57.0,2,1,0,3421,3421,52.0,0,0,0,Vittoria,Pro Sud Gradinata
172,0,1,0,0,0,64.0,2,0,1,4411,4411,57.5,0,0,0,Pareggio,Hyrule's Chickens
173,0,0,0,0,0,56.5,1,0,0,4222,4222,50.5,1,0,0,Pareggio,Club Atletico Luigi Cadorna Milano 1896
174,2,2,1,0,0,53.5,0,0,0,4411,4411,51.5,0,0,0,Vittoria,Bluefin FC
175,1,2,0,0,0,37.5,0,2,0,4312,4312,38.0,0,0,0,Sconfitta,Tutankhamon Rotoloni Cigni
176,0,2,0,0,0,55.0,1,2,0,343,343,52.0,0,0,0,Sconfitta,Civitanova Squidfishers
177,0,0,0,0,0,46.0,1,1,0,442,442,44.0,0,0,0,Vittoria,Club Atletico De San Martin De Tucuman
178,0,0,0,0,0,70.5,4,3,3,3412,3412,63.0,0,0,0,Vittoria,S S Condom
179,1,2,0,0,0,51.5,0,0,0,3421,3421,50.0,0,0,0,Sconfitta,The Okan
