,Ammonizione,Assist,Assist da fermo,Autorete,Espulsione,Fantapunti,Goal,Goal subito,Malus,Modulo,Modulo applicato,Punti,Rigore parato,Rigore sbagliato,Rigore segnato,Risultato,Squadra
135,1,0,0,0,0,72.0,1,0,0,352,352,66.5,0,0,1,Pareggio,SS Condom
136,1,1,0,0,0,60.5,0,3,0,343,343,63.0,0,0,0,Sconfitta,Sbronzi di Riace
137,0,0,0,0,0,77.0,3,0,0,352,352,68.0,0,0,0,Vittoria,FK Qarabaq
138,2,4,0,0,0,74.5,2,3,0,532,532,68.5,0,0,0,Vittoria,Bluefin FC
139,2,0,0,0,0,71.5,2,0,0,343,343,66.5,0,0,0,Sconfitta,Pro Sud Gradinata
140,1,1,0,0,0,75.0,3,3,0,352,352,68.5,0,0,0,Vittoria,FC Elektrosila Skingrad
141,1,0,0,0,0,69.0,1,2,0,433,433,68.5,0,0,0,Sconfitta,Civitanova Squidfishers
142,1,1,0,0,0,83.0,4,0,0,442,442,70.5,0,0,0,Vittoria,SS Condom
143,2,0,0,0,0,58.5,0,2,0,343,343,61.5,0,0,0,Sconfitta,Sbronzi di Riace
144,1,0,0,0,0,77.0,2,1,0,442,442,69.5,0,0,1,Sconfitta,FK Qarabaq
145,1,3,0,0,0,80.0,2,0,0,442,442,71.5,0,0,0,Vittoria,Bluefin FC
146,1,0,1,0,0,87.0,3,0,0,433,433,71.5,1,0,1,Vittoria,Pro Sud Gradinata
147,1,0,1,0,0,78.0,2,0,0,433,433,68.5,0,0,1,Sconfitta,AC Vostra
148,2,1,0,0,0,70.0,3,2,0,451,451,63.0,0,0,0,Sconfitta,Overflow FC
149,3,2,0,0,0,87.0,5,0,0,343,343,71.5,0,0,0,Vittoria,Varese Primavera
150,0,1,0,0,0,77.5,2,2,0,532,532,69.5,0,0,1,Vittoria,AC Vostra
151,2,0,0,0,0,65.0,0,1,0,532,532,67.0,0,0,0,Sconfitta,FK Qarabaq
152,1,1,0,0,0,70.5,1,0,0,433,433,67.0,0,0,0,Sconfitta,Varese Primavera
